Host Since,Host Response Time,Host Response Rate,Host Verifications,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Amenities,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 60,Availability 365,Number of Reviews,Last Review,Review Scores Rating,Review Scores Location,Cancellation Policy,Calculated host listings count,Reviews per Month
2778,3.0,100.0,4.0,16,1,1,1.0,1.0,1.0,1,17.0,29.0,290.0,38.0,1,0,2,90,38,343,23,2259.0,97.0,10.0,2,4.0,1.35
3015,3.0,100.0,4.0,0,0,4,1.0,0.0,2.0,1,14.0,47.0,0.0,20.0,2,10,3,90,26,330,27,2255.0,91.0,10.0,1,10.0,1.66
3058,0.0,0.0,1.0,0,1,2,2.0,1.0,1.0,1,6.0,50.0,0.0,0.0,1,0,1,30,0,0,0,3954.0,92.0,10.0,0,1.0,0.0
2560,0.0,0.0,2.0,0,1,2,1.0,1.0,1.0,1,3.0,30.0,0.0,0.0,1,0,2,1125,0,0,0,3954.0,92.0,10.0,0,1.0,0.0
3841,3.0,100.0,5.0,0,0,4,1.0,2.0,2.0,1,15.0,79.0,0.0,0.0,2,10,1,1125,27,136,107,2264.0,94.0,10.0,1,2.0,2.12
2603,3.0,100.0,5.0,0,0,6,2.0,1.0,3.0,1,18.0,65.0,200.0,30.0,2,15,1,1125,27,327,56,2252.0,96.0,10.0,1,1.0,4.81
4156,2.0,100.0,4.0,0,0,4,1.0,1.0,1.0,0,16.0,75.0,150.0,40.0,2,15,1,180,15,299,28,2266.0,99.0,10.0,0,2.0,3.01
2475,3.0,100.0,6.0,0,0,2,1.0,0.0,1.0,1,20.0,73.0,0.0,20.0,1,0,3,1125,9,119,22,2269.0,97.0,10.0,2,1.0,3.04
4565,1.0,96.0,4.0,0,0,6,1.0,2.0,3.0,1,16.0,220.0,200.0,80.0,4,20,3,1125,50,350,11,2345.0,84.0,9.0,2,6.0,0.36
4297,3.0,100.0,5.0,0,0,5,2.0,3.0,5.0,1,17.0,206.0,250.0,55.0,1,0,3,365,0,291,3,3086.0,40.0,8.0,2,6.0,0.08
